Bulk Edit Items,,,,,,,,,,
Barcode,Item Code,Item Name,Item Group,Warehouse,Quantity,Stock UOM,Valuation Rate,Amount,Quantity Difference,Amount Difference
barcode,item_code,item_name,item_group,warehouse,qty,stock_uom,valuation_rate,amount,quantity_difference,amount_difference
 , , , , , , , , , , 
The CSV format is case sensitive,,,,,,,,,,
Do not edit headers which are preset in the template,,,,,,,,,,
------,,,,,,,,,,
,A023,SPANDEK PASIR 1 X 6 X 0.30 MERAH,SPD,GD. UTAMA - C,0,LBR,240000,0,1170.000 - Akun sementara - BAC,1170.000 - Akun sementara - BAC
,A022,"BAJARINGAN R 28 x 0,40",BJR,GD. UTAMA - C,0,BTG,24600,0,1170.000 - Akun sementara - BAC,1170.000 - Akun sementara - BAC
,A021,BAJA R 30 x 0.45,RENG,GD. UTAMA - C,1219,BTG,30000,36570000,1170.000 - Akun sementara - BAC,1170.000 - Akun sementara - BAC
,A020,BAJA BUKIT C75 x 100,BJR,GD. UTAMA - C,1,BTG,89000,89000,1170.000 - Akun sementara - BAC,1170.000 - Akun sementara - BAC
,A02,HOLLO 4x4x0.30 Gng,HOLLO,GD. UTAMA - C,540,BTG,15500,8370000,1170.000 - Akun sementara - BAC,1170.000 - Akun sementara - BAC
,A019,BAJA BUKIT C75 x 0.75 SNI AZ 100,BJR,GD. UTAMA - C,72,BTG,87500,6300000,1170.000 - Akun sementara - BAC,1170.000 - Akun sementara - BAC
,A0188,BONDEK BFD x 0.75 x 8 M,BDK,GD. UTAMA - C,0,LBR,688000,0,1170.000 - Akun sementara - BAC,1170.000 - Akun sementara - BAC
,A018,BONDEK 0.75 x 6 M,BDK,GD. UTAMA - C,14,LBR,567000,7938000,1170.000 - Akun sementara - BAC,1170.000 - Akun sementara - BAC
,A0177,BONDEK (BFD x 0.70 x 8 M),BDK,GD. UTAMA - C,18,LBR,628000,11304000,1170.000 - Akun sementara - BAC,1170.000 - Akun sementara - BAC
,A0176,BONDEK BFD x 0.70 x 4.5 M,BDK,GD. UTAMA - C,0,LBR,430920,0,1170.000 - Akun sementara - BAC,1170.000 - Akun sementara - BAC
,A0175,BONDEK BFD x 0.70 x 3.5 M,BDK,GD. UTAMA - C,0,LBR,335160,0,1170.000 - Akun sementara - BAC,1170.000 - Akun sementara - BAC
,A0174,BONDEK BFD x 0.70 x 7 M,BONDEK,GD. UTAMA - C,0,LBR,616000,0,1170.000 - Akun sementara - BAC,1170.000 - Akun sementara - BAC
,A0173,BONDEK BFD x 0.70 x 4 M,BDK,GD. UTAMA - C,0,LBR,338000,0,1170.000 - Akun sementara - BAC,1170.000 - Akun sementara - BAC
,A0172,BONDEK BFD x 0.70 x 5 M,BDK,GD. UTAMA - C,0,LBR,415000,0,1170.000 - Akun sementara - BAC,1170.000 - Akun sementara - BAC
,A0171,BONDEK BFD x 0.70 x 6.5 M,BDK,GD. UTAMA - C,0,LBR,617500,0,1170.000 - Akun sementara - BAC,1170.000 - Akun sementara - BAC
,A017,BONDEK BFD x 0.70 x 6 M,BDK,GD. UTAMA - C,0,LBR,510000,0,1170.000 - Akun sementara - BAC,1170.000 - Akun sementara - BAC
,A01666,BONDEK BFD x 0.65 x 4 M,BDK,GD. UTAMA - C,0,LBR,314000,0,1170.000 - Akun sementara - BAC,1170.000 - Akun sementara - BAC
,A0166,BONDEK BFD x 0.65 x 5 M,BDK,GD. UTAMA - C,0,LBR,388500,0,1170.000 - Akun sementara - BAC,1170.000 - Akun sementara - BAC
,A0160,BONDEK BFD x 0.65 x 6 M,BDK,GD. UTAMA - C,0,LBR,475000,0,1170.000 - Akun sementara - BAC,1170.000 - Akun sementara - BAC
,A016,BONDEK BFD x 0.65 x 6 M,BDK,GD. UTAMA - C,0,LBR,537900,0,1170.000 - Akun sementara - BAC,1170.000 - Akun sementara - BAC
,A014,BONDEK BFD x 0.55 x 6 M,BDK,GD. UTAMA - C,11,LBR,381000,4191000,1170.000 - Akun sementara - BAC,1170.000 - Akun sementara - BAC
,A013,BAJARINGAN 75 x 0.75 ( 0.50 ),BJR,GD. UTAMA - C,0,BTG,49140,0,1170.000 - Akun sementara - BAC,1170.000 - Akun sementara - BAC
,A012,BAJARINGAN 75 x 0.75 GLE,BJR,GD. UTAMA - C,0,BTG,53730,0,1170.000 - Akun sementara - BAC,1170.000 - Akun sementara - BAC
,A0118,BONDEK BFD x 0.75 x 7.10 M,BDK,GD. UTAMA - C,0,LBR,610600,0,1170.000 - Akun sementara - BAC,1170.000 - Akun sementara - BAC
,A0116,BONDEK BFD x 0.65 x 7 M,BDK,GD. UTAMA - C,0,LBR,577500,0,1170.000 - Akun sementara - BAC,1170.000 - Akun sementara - BAC
,A01118,BONDEK BFD x 0.75 x 4.10 M,BDK,GD. UTAMA - C,0,LBR,352600,0,1170.000 - Akun sementara - BAC,1170.000 - Akun sementara - BAC
,A011,BAJARINGAN 75 x 0.75 GLD,BJR,GD. UTAMA - C,0,BTG,59130,0,1170.000 - Akun sementara - BAC,1170.000 - Akun sementara - BAC
,A010,BAJARINGAN 75 x 0.75 GLC,BJR,GD. UTAMA - C,0,BTG,64260,0,1170.000 - Akun sementara - BAC,1170.000 - Akun sementara - BAC
,A01,HOLLO 2x4x0.30 Gng,HOLLO,GD. UTAMA - C,508,BTG,11000,5588000,1170.000 - Akun sementara - BAC,1170.000 - Akun sementara - BAC
,A009,BAJARINGAN 75 x 0.75 GLB,BJR,GD. UTAMA - C,0,BTG,68040,0,1170.000 - Akun sementara - BAC,1170.000 - Akun sementara - BAC
,A008,BAJARINGAN BUKIT 75 x 0.75,BJR,GD. UTAMA - C,0,BTG,72900,0,1170.000 - Akun sementara - BAC,1170.000 - Akun sementara - BAC
,A007,BAJARINGAN R 30 x 0.35,BJR,GD. UTAMA - C,0,BTG,22200,0,1170.000 - Akun sementara - BAC,1170.000 - Akun sementara - BAC
,A006,BAJA R 28 x 0.30,RENG,GD. UTAMA - C,0,BTG,14500,0,1170.000 - Akun sementara - BAC,1170.000 - Akun sementara - BAC
,A005,SPANDEK BD 1000 x 0.30 x 6 M,SPD,GD. UTAMA - C,142,LBR,198000,28116000,1170.000 - Akun sementara - BAC,1170.000 - Akun sementara - BAC
,A004,SPANDEK BD 1000 x 0.25 x 6 M,SPD,GD. UTAMA - C,351,LBR,172000,60372000,1170.000 - Akun sementara - BAC,1170.000 - Akun sementara - BAC
,A003,SPANDEK BD 1000 x 0.25 E x 6 M,SPD,GD. UTAMA - C,395,LBR,148000,58460000,1170.000 - Akun sementara - BAC,1170.000 - Akun sementara - BAC
,A0026,SPANDEK 1000 x 0.25 x 6 M,SPANDEK,GD. UTAMA - C,0,LBR,155520,0,1170.000 - Akun sementara - BAC,1170.000 - Akun sementara - BAC
,A0025,SPANDEK 1000 x 0.30 x 6 M,SPANDEK,GD. UTAMA - C,0,LBR,189660,0,1170.000 - Akun sementara - BAC,1170.000 - Akun sementara - BAC
,A0024,SPANDEK 1000 x 0.25 E x 6 M,SPANDEK,GD. UTAMA - C,0,LBR,145200,0,1170.000 - Akun sementara - BAC,1170.000 - Akun sementara - BAC
,A002,HOLLO 4x4x0.30 Std,HOLLO,GD. UTAMA - C,525,BTG,12700,6667500,1170.000 - Akun sementara - BAC,1170.000 - Akun sementara - BAC
,A00160,BONDEK BFD x 0.70 x 4.7 M,BDK,GD. UTAMA - C,0,LBR,369000,0,1170.000 - Akun sementara - BAC,1170.000 - Akun sementara - BAC
,A0016,BONDEK BFD x 0.60 x 4 M,BDK,GD. UTAMA - C,0,LBR,348040,0,1170.000 - Akun sementara - BAC,1170.000 - Akun sementara - BAC
,A0015,BONDEK BFD x 0.60 x 6 M,BDK,GD. UTAMA - C,0,LBR,455000,0,1170.000 - Akun sementara - BAC,1170.000 - Akun sementara - BAC
,A0014,BONDEK BFD x 0.60 x 8 M,BDK,GD. UTAMA - C,0,LBR,607200,0,1170.000 - Akun sementara - BAC,1170.000 - Akun sementara - BAC
,A001,HOLLO 2x4x0.30 Std,HOLLO,GD. UTAMA - C,7,BTG,9500,66500,1170.000 - Akun sementara - BAC,1170.000 - Akun sementara - BAC
,A0004,BONDEK 0.70 x 6 M,BDK,GD. UTAMA - C,0,LBR,547800,0,1170.000 - Akun sementara - BAC,1170.000 - Akun sementara - BAC
,A0002,HOLLO STD 4 x 4 x 0.30,HOLLO,GD. UTAMA - C,0,BTG,11000,0,1170.000 - Akun sementara - BAC,1170.000 - Akun sementara - BAC
,A0001,HOLLO STD 2 x 4 x 0.30,HOLLO,GD. UTAMA - C,0,BTG,8690,0,1170.000 - Akun sementara - BAC,1170.000 - Akun sementara - BAC
